Name,NucPos_AB_ap_f,NucPos_AB_ap_l,NucPos_AB_ap_m,NucPos_AB_ap_m2,NucPos_AB_dv_f,NucPos_AB_dv_l,NucPos_AB_dv_m,NucPos_AB_dv_m2,NucPos_AB_lr_f,NucPos_AB_lr_l,NucPos_AB_lr_m,NucPos_AB_lr_m2,NucPos_ABa_ap_f,NucPos_ABa_ap_l,NucPos_ABa_ap_m,NucPos_ABa_ap_m4,NucPos_ABa_dv_f,NucPos_ABa_dv_l,NucPos_ABa_dv_m,NucPos_ABa_dv_m4,NucPos_ABa_lr_f,NucPos_ABa_lr_l,NucPos_ABa_lr_m,NucPos_ABa_lr_m4,NucPos_ABa_m4_EC,NucPos_ABal_ap_divEMS,NucPos_ABal_ap_divP2,NucPos_ABal_ap_f,NucPos_ABal_dv_divEMS,NucPos_ABal_dv_divP2,NucPos_ABal_dv_f,NucPos_ABal_lr_divEMS,NucPos_ABal_lr_divP2,NucPos_ABal_lr_f,NucPos_ABar_ap_divEMS,NucPos_ABar_ap_divP2,NucPos_ABar_ap_f,NucPos_ABar_dv_divEMS,NucPos_ABar_dv_divP2,NucPos_ABar_dv_f,NucPos_ABar_lr_divEMS,NucPos_ABar_lr_divP2,NucPos_ABar_lr_f,NucPos_ABp_ap_f,NucPos_ABp_ap_l,NucPos_ABp_ap_m,NucPos_ABp_ap_m4,NucPos_ABp_dv_f,NucPos_ABp_dv_l,NucPos_ABp_dv_m,NucPos_ABp_dv_m4,NucPos_ABp_lr_f,NucPos_ABp_lr_l,NucPos_ABp_lr_m,NucPos_ABp_lr_m4,NucPos_ABpl_ap_divEMS,NucPos_ABpl_ap_divP2,NucPos_ABpl_ap_f,NucPos_ABpl_dv_divEMS,NucPos_ABpl_dv_divP2,NucPos_ABpl_dv_f,NucPos_ABpl_lr_divEMS,NucPos_ABpl_lr_divP2,NucPos_ABpl_lr_f,NucPos_ABpr_ap_divEMS,NucPos_ABpr_ap_divP2,NucPos_ABpr_ap_f,NucPos_ABpr_dv_divEMS,NucPos_ABpr_dv_divP2,NucPos_ABpr_dv_f,NucPos_ABpr_lr_divEMS,NucPos_ABpr_lr_divP2,NucPos_ABpr_lr_f,NucPos_C_ap_f,NucPos_C_dv_f,NucPos_C_lr_f,NucPos_E_ap_divP2,NucPos_E_ap_f,NucPos_E_divP2_EC,NucPos_E_dv_divP2,NucPos_E_dv_f,NucPos_EMS_ap_divABa,NucPos_EMS_ap_divABp,NucPos_EMS_ap_f,NucPos_EMS_ap_l,NucPos_EMS_ap_m,NucPos_EMS_ap_m4,NucPos_EMS_dv_divABa,NucPos_EMS_dv_divABp,NucPos_EMS_dv_f,NucPos_EMS_dv_l,NucPos_EMS_dv_m,NucPos_EMS_dv_m4,NucPos_MS_ap_divP2,NucPos_MS_ap_f,NucPos_MS_dv_divP2,NucPos_MS_dv_f,NucPos_MS_lr_divP2,NucPos_MS_lr_f,NucPos_P0_ap_cent,NucPos_P0_ap_l,NucPos_P0_dv_cent,NucPos_P0_dv_l,NucPos_P0_l_EC,NucPos_P0_lr_cent,NucPos_P0_lr_l,NucPos_P1_ap_divAB,NucPos_P1_ap_f,NucPos_P1_ap_l,NucPos_P1_ap_m,NucPos_P1_ap_m2,NucPos_P1_dv_divAB,NucPos_P1_dv_f,NucPos_P1_dv_l,NucPos_P1_dv_m,NucPos_P1_dv_m2,NucPos_P1_lr_divAB,NucPos_P1_lr_f,NucPos_P1_lr_l,NucPos_P1_lr_m,NucPos_P1_lr_m2,NucPos_P2_ap_divABa,NucPos_P2_ap_divABp,NucPos_P2_ap_divEMS,NucPos_P2_ap_f,NucPos_P2_ap_l,NucPos_P2_ap_m,NucPos_P2_ap_m4,NucPos_P2_dv_divABa,NucPos_P2_dv_divABp,NucPos_P2_dv_divEMS,NucPos_P2_dv_f,NucPos_P2_dv_l,NucPos_P2_dv_m,NucPos_P2_dv_m4,NucPos_P2_lr_divABa,NucPos_P2_lr_divABp,NucPos_P2_lr_divEMS,NucPos_P2_lr_f,NucPos_P2_lr_l,NucPos_P2_lr_m,NucPos_P2_lr_m4,NucPos_P3_ap_f,NucPos_P3_dv_f,NucPos_P3_lr_f
B0336.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0361.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
B0464.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C05D11.11,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C07A9.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C07A9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16C10.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C23G10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
C26E6.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C29F9.7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
